Day,Month,Year,Hour,Min,Sec,mode,Time,BBBV,BBBVs,style,cell0,cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,Lcl,Rcl,Dcl,Leff,Reff,Deff,Openings,Islands,Path,GZiNi,HZiNi
16,7,2022,18,21,10,BEG,3.25,9,2.76,NF,17,29,6,2,0,0,0,0,0,15,0,0,11,0,0,3,3,887,8,8
16,7,2022,18,21,27,BEG,4.48,16,3.57,NF,21,21,10,2,0,0,0,0,0,18,0,0,16,0,0,1,2,698,10,11
17,7,2022,21,41,12,BEG,4.35,17,3.90,NF,19,13,21,1,0,0,0,0,0,20,0,0,17,0,0,2,2,835,12,14
17,7,2022,21,41,26,BEG,1.31,3,2.29,NF,26,18,7,1,1,1,0,0,0,4,0,0,3,0,0,2,1,552,3,3
17,7,2022,21,41,59,BEG,6.97,19,2.72,NF,15,26,11,2,0,0,0,0,0,29,0,0,22,0,0,2,4,1536,14,15
17,7,2022,22,29,9,BEG,2.87,8,2.78,NF,25,19,9,0,0,1,0,0,0,12,0,0,12,0,0,1,4,856,8,8
17,7,2022,22,31,44,BEG,6.46,17,2.63,NF,17,21,11,4,1,0,0,0,0,24,0,0,20,0,0,2,2,1145,13,15
17,7,2022,22,31,53,BEG,3.78,13,3.43,NF,25,16,6,5,2,0,0,0,0,18,0,0,17,0,0,2,2,837,10,10
17,7,2022,22,32,36,BEG,6.62,23,3.47,NF,13,28,10,3,0,0,0,0,0,32,0,0,29,0,0,3,1,1109,15,17
17,7,2022,22,33,26,BEG,4.58,17,3.71,NF,25,13,12,2,1,1,0,0,0,20,0,0,18,0,0,1,1,595,12,14
17,7,2022,22,33,31,BEG,3.78,10,2.64,NF,27,12,12,3,0,0,0,0,0,13,0,0,12,0,0,1,3,1050,10,10
17,7,2022,22,33,39,BEG,4.65,19,4.08,NF,17,21,11,5,0,0,0,0,0,21,0,0,19,0,0,1,3,888,15,16
17,7,2022,22,35,40,BEG,6.73,24,3.56,NF,9,32,10,3,0,0,0,0,0,29,0,0,27,0,0,2,5,960,17,19
17,7,2022,22,36,12,BEG,5.23,11,2.10,NF,23,13,10,4,3,1,0,0,0,23,0,0,17,0,0,3,4,966,10,10
17,7,2022,22,36,23,BEG,2.99,8,2.67,NF,22,17,12,2,1,0,0,0,0,10,0,0,9,0,0,2,5,730,8,8
17,7,2022,22,37,26,BEG,4.61,9,1.95,NF,20,17,14,2,1,0,0,0,0,15,0,0,11,0,0,3,3,690,9,9
17,7,2022,22,37,46,BEG,6.23,18,2.88,NF,18,25,8,1,1,0,1,0,0,27,0,0,22,0,0,2,3,1270,16,14
17,7,2022,22,37,54,BEG,5.62,21,3.73,NF,14,24,13,3,0,0,0,0,0,27,0,0,23,0,0,2,4,992,14,16
